@RELATION soccer_stats_2018

@ATTRIBUTE div {E0,E1}
@ATTRIBUTE homeTeam {ManUnited, Leicester, Bournemouth, Cardiff, Fulham, CrystalPalace, Huddersfield, Chelsea, Newcastle, Tottenham, Watford, Brighton, Wolves, Everton, Arsenal, ManCity, Liverpool, WestHam, Southampton, Burnley}
@ATTRIBUTE awayTeam {ManUnited, Leicester, Bournemouth, Cardiff, Fulham, CrystalPalace, Huddersfield, Chelsea, Newcastle, Tottenham, Watford, Brighton, Wolves, Everton, Arsenal, ManCity, Liverpool, WestHam, Southampton, Burnley}
@ATTRIBUTE fthg NUMERIC
@ATTRIBUTE ftag NUMERIC

@DATA
E0,ManUnited,Leicester,2,1
E0,Bournemouth,Cardiff,2,0
E0,Fulham,CrystalPalace,0,2
E0,Huddersfield,Chelsea,0,3
E0,Newcastle,Tottenham,1,2
E0,Watford,Brighton,2,0
E0,Wolves,Everton,2,2
E0,Arsenal,ManCity,0,2
E0,Liverpool,WestHam,4,0
E0,Southampton,Burnley,0,0
E0,Cardiff,Newcastle,0,0
E0,Chelsea,Arsenal,3,2
E0,Everton,Southampton,2,1
E0,Leicester,Wolves,2,0
E0,Tottenham,Fulham,3,1
E0,WestHam,Bournemouth,1,2
E0,Brighton,ManUnited,3,2
E0,Burnley,Watford,1,3
E0,ManCity,Huddersfield,6,1
E0,CrystalPalace,Liverpool,0,2
E0,Arsenal,WestHam,3,1
E0,Bournemouth,Everton,2,2
E0,Huddersfield,Cardiff,0,0
E0,Liverpool,Brighton,1,0
E0,Southampton,Leicester,1,2
E0,Wolves,ManCity,1,1
E0,Fulham,Burnley,4,2
E0,Newcastle,Chelsea,1,2
E0,Watford,CrystalPalace,2,1
E0,ManUnited,Tottenham,0,3
E0,Brighton,Fulham,2,2
E0,Chelsea,Bournemouth,2,0
E0,CrystalPalace,Southampton,0,2
E0,Everton,Huddersfield,1,1
E0,Leicester,Liverpool,1,2
E0,ManCity,Newcastle,2,1
E0,WestHam,Wolves,0,1
E0,Burnley,ManUnited,0,2
E0,Cardiff,Arsenal,2,3
E0,Watford,Tottenham,2,1
E0,Bournemouth,Leicester,4,2
E0,Chelsea,Cardiff,4,1
E0,Huddersfield,CrystalPalace,0,1
E0,ManCity,Fulham,3,0
E0,Newcastle,Arsenal,1,2
E0,Tottenham,Liverpool,1,2
E0,Watford,ManUnited,1,2
E0,Everton,WestHam,1,3
E0,Wolves,Burnley,1,0
E0,Southampton,Brighton,2,2
E0,Brighton,Tottenham,1,2
E0,Burnley,Bournemouth,4,0
E0,Cardiff,ManCity,0,5
E0,CrystalPalace,Newcastle,0,0
E0,Fulham,Watford,1,1
E0,Leicester,Huddersfield,3,1
E0,Liverpool,Southampton,3,0
E0,ManUnited,Wolves,1,1
E0,Arsenal,Everton,2,0
E0,WestHam,Chelsea,0,0
E0,Arsenal,Watford,2,0
E0,Chelsea,Liverpool,1,1
E0,Everton,Fulham,3,0
E0,Huddersfield,Tottenham,0,2
E0,ManCity,Brighton,2,0
E0,Newcastle,Leicester,0,2
E0,WestHam,ManUnited,3,1
E0,Wolves,Southampton,2,0
E0,Cardiff,Burnley,1,2
E0,Bournemouth,CrystalPalace,2,1
E0,Brighton,WestHam,1,0
E0,Burnley,Huddersfield,1,1
E0,CrystalPalace,Wolves,0,1
E0,Leicester,Everton,1,2
E0,ManUnited,Newcastle,3,2
E0,Tottenham,Cardiff,1,0
E0,Watford,Bournemouth,0,4
E0,Fulham,Arsenal,1,5
E0,Liverpool,ManCity,0,0
E0,Southampton,Chelsea,0,3
E0,Bournemouth,Southampton,0,0
E0,Cardiff,Fulham,4,2
E0,Chelsea,ManUnited,2,2
E0,Huddersfield,Liverpool,0,1
E0,ManCity,Burnley,5,0
E0,Newcastle,Brighton,0,1
E0,WestHam,Tottenham,0,1
E0,Wolves,Watford,0,2
E0,Everton,CrystalPalace,2,0
E0,Arsenal,Leicester,3,1
E0,Brighton,Wolves,1,0
E0,Fulham,Bournemouth,0,3
E0,Leicester,WestHam,1,1
E0,Liverpool,Cardiff,4,1
E0,Southampton,Newcastle,0,0
E0,Watford,Huddersfield,3,0
E0,Burnley,Chelsea,0,4
E0,CrystalPalace,Arsenal,2,2
E0,ManUnited,Everton,2,1
E0,Tottenham,ManCity,0,1
E0,Arsenal,Liverpool,1,1
E0,Bournemouth,ManUnited,1,2
E0,Cardiff,Leicester,0,1
E0,Everton,Brighton,3,1
E0,Newcastle,Watford,1,0
E0,WestHam,Burnley,4,2
E0,Wolves,Tottenham,2,3
E0,Chelsea,CrystalPalace,3,1
E0,ManCity,Southampton,6,1
E0,Huddersfield,Fulham,1,0
E0,Cardiff,Brighton,2,1
E0,CrystalPalace,Tottenham,0,1
E0,Huddersfield,WestHam,1,1
E0,Leicester,Burnley,0,0
E0,Newcastle,Bournemouth,2,1
E0,Southampton,Watford,1,1
E0,Arsenal,Wolves,1,1
E0,Chelsea,Everton,0,0
E0,Liverpool,Fulham,2,0
E0,ManCity,ManUnited,3,1
E0,Brighton,Leicester,1,1
E0,Everton,Cardiff,1,0
E0,Fulham,Southampton,3,2
E0,ManUnited,CrystalPalace,0,0
E0,Tottenham,Chelsea,3,1
E0,Watford,Liverpool,0,3
E0,WestHam,ManCity,0,4
E0,Bournemouth,Arsenal,1,2
E0,Wolves,Huddersfield,0,2
E0,Burnley,Newcastle,1,2
E0,Cardiff,Wolves,2,1
E0,CrystalPalace,Burnley,2,0
E0,Huddersfield,Brighton,1,2
E0,Leicester,Watford,2,0
E0,ManCity,Bournemouth,3,1
E0,Newcastle,WestHam,0,3
E0,Southampton,ManUnited,2,2
E0,Arsenal,Tottenham,4,2
E0,Chelsea,Fulham,2,0
E0,Liverpool,Everton,1,0
E0,Bournemouth,Huddersfield,2,1
E0,Brighton,CrystalPalace,3,1
E0,Watford,ManCity,1,2
E0,WestHam,Cardiff,3,1
E0,Burnley,Liverpool,1,3
E0,Everton,Newcastle,1,1
E0,Fulham,Leicester,1,1
E0,ManUnited,Arsenal,2,2
E0,Tottenham,Southampton,3,1
E0,Wolves,Chelsea,2,1
E0,Arsenal,Huddersfield,1,0
E0,Bournemouth,Liverpool,0,4
E0,Burnley,Brighton,1,0
E0,Cardiff,Southampton,1,0
E0,Chelsea,ManCity,2,0
E0,Leicester,Tottenham,0,2
E0,ManUnited,Fulham,4,1
E0,WestHam,CrystalPalace,3,2
E0,Newcastle,Wolves,1,2
E0,Everton,Watford,2,2
E0,CrystalPalace,Leicester,1,0
E0,Fulham,WestHam,0,2
E0,Huddersfield,Newcastle,0,1
E0,ManCity,Everton,3,1
E0,Tottenham,Burnley,1,0
E0,Watford,Cardiff,3,2
E0,Wolves,Bournemouth,2,0
E0,Brighton,Chelsea,1,2
E0,Liverpool,ManUnited,3,1
E0,Southampton,Arsenal,3,2
E0,Wolves,Liverpool,0,2
E0,Arsenal,Burnley,3,1
E0,Bournemouth,Brighton,2,0
E0,Cardiff,ManUnited,1,5
E0,Chelsea,Leicester,0,1
E0,Huddersfield,Southampton,1,3
E0,ManCity,CrystalPalace,2,3
E0,Newcastle,Fulham,0,0
E0,WestHam,Watford,0,2
E0,Everton,Tottenham,2,6
